customer_code	commercial_portfolio	business_unit
1	less affluent	retail_bank
2	less affluent	retail_bank
3	less affluent	retail_bank
4	less affluent	retail_bank
5	less affluent	retail_bank
6	less affluent	retail_bank
7	less affluent	retail_bank
8	less affluent	retail_bank
9	less affluent	retail_bank
10	less affluent	retail_bank
11	less affluent	retail_bank
12	less affluent	retail_bank
13	less affluent	retail_bank
14	less affluent	retail_bank
15	less affluent	retail_bank
16	less affluent	retail_bank
17	less affluent	retail_bank
18	less affluent	retail_bank
19	less affluent	retail_bank
20	less affluent	retail_bank
21	less affluent	retail_bank
22	less affluent	retail_bank
23	less affluent	retail_bank
24	less affluent	retail_bank
25	less affluent	retail_bank
26	less affluent	retail_bank
27	less affluent	retail_bank
28	less affluent	retail_bank
29	less affluent	retail_bank
30	less affluent	retail_bank
31	less affluent	retail_bank
32	less affluent	retail_bank
33	less affluent	retail_bank
34	less affluent	retail_bank
35	less affluent	retail_bank
36	less affluent	retail_bank
37	less affluent	retail_bank
38	less affluent	retail_bank
39	less affluent	retail_bank
40	less affluent	retail_bank
41	less affluent	retail_bank
42	less affluent	retail_bank
43	less affluent	retail_bank
44	less affluent	retail_bank
45	less affluent	retail_bank
46	less affluent	retail_bank
47	less affluent	retail_bank
48	less affluent	retail_bank
49	less affluent	retail_bank
50	less affluent	retail_bank
51	less affluent	retail_bank
52	less affluent	retail_bank
53	less affluent	retail_bank
54	less affluent	retail_bank
55	less affluent	retail_bank
56	less affluent	retail_bank
57	less affluent	retail_bank
58	less affluent	retail_bank
59	less affluent	retail_bank
60	less affluent	retail_bank
61	less affluent	retail_bank
62	less affluent	retail_bank
63	less affluent	retail_bank
64	less affluent	retail_bank
65	less affluent	retail_bank
66	less affluent	retail_bank
67	less affluent	retail_bank
68	less affluent	retail_bank
69	less affluent	retail_bank
70	less affluent	retail_bank
71	less affluent	retail_bank
72	less affluent	retail_bank
73	less affluent	retail_bank
74	less affluent	retail_bank
75	less affluent	retail_bank
76	less affluent	retail_bank
77	less affluent	retail_bank
78	less affluent	retail_bank
79	less affluent	retail_bank
80	less affluent	retail_bank
81	less affluent	retail_bank
82	less affluent	retail_bank
83	less affluent	retail_bank
84	less affluent	retail_bank
85	less affluent	retail_bank
86	less affluent	retail_bank
87	less affluent	retail_bank
88	less affluent	retail_bank
89	less affluent	retail_bank
90	less affluent	retail_bank
91	less affluent	retail_bank
92	less affluent	retail_bank
93	less affluent	retail_bank
94	less affluent	retail_bank
95	less affluent	retail_bank
96	less affluent	retail_bank
97	less affluent	retail_bank
98	less affluent	retail_bank
99	less affluent	retail_bank
100	less affluent	retail_bank
101	less affluent	retail_bank
102	less affluent	retail_bank
103	less affluent	retail_bank
104	less affluent	retail_bank
105	less affluent	retail_bank
106	less affluent	retail_bank
107	less affluent	retail_bank
108	less affluent	retail_bank
109	less affluent	retail_bank
110	less affluent	retail_bank
111	less affluent	retail_bank
112	less affluent	retail_bank
113	less affluent	retail_bank
114	less affluent	retail_bank
115	less affluent	retail_bank
116	less affluent	retail_bank
117	less affluent	retail_bank
118	less affluent	retail_bank
119	less affluent	retail_bank
120	less affluent	retail_bank
121	less affluent	retail_bank
122	less affluent	retail_bank
123	less affluent	retail_bank
124	less affluent	retail_bank
125	less affluent	retail_bank
126	less affluent	retail_bank
127	less affluent	retail_bank
128	less affluent	retail_bank
129	less affluent	retail_bank
130	less affluent	retail_bank
131	less affluent	retail_bank
132	less affluent	retail_bank
